transaction_id,supplier_id,transaction_date,contract_value_usd,currency,category,subcategory,department,contract_duration_months,tender_type,local_content_percentage,payment_terms,contract_start_date,contract_end_date,po_number,delivery_location,project_code,budget_code,approval_level,contract_status
TXN000001,SUP0064,2024-05-05,115049.69,USD,Accounting Services,Training Services,Maintenance,1,Open Tender,79.2,Net 30,2024-05-05,2024-06-04,PO877572,Subika,PRJ5012,BUD328,Director,Completed
TXN000002,SUP0059,2012-04-19,29821.45,USD,Safety Equipment,IT Services,Mining Operations,3,Open Tender,98.9,Net 30,2012-04-19,2012-07-18,PO719176,Accra Office,PRJ1520,BUD130,Manager,Completed
TXN000003,SUP0108,2014-11-27,113722.65,USD,Mechanical Services,Safety Equipment,Security,3,Open Tender,36.9,Net 30,2014-11-27,2015-02-25,PO688508,Ahafo North,PRJ9928,BUD529,Director,Completed
TXN000004,SUP0047,2020-01-28,131400.38,USD,Maintenance Services,Electrical Services,Security,24,Open Tender,85.9,Net 90,2020-01-28,2022-01-17,PO948749,Ahafo South,PRJ3615,BUD814,SVP,Cancelled
TXN000005,SUP0487,2017-08-19,1721635.875,GHS,Equipment Parts,Civil Works,Mining Operations,2,Open Tender,98.2,Net 60,2017-08-19,2017-10-18,PO325772,Subika,PRJ2674,BUD194,SVP,Completed
TXN000006,SUP0129,2012-03-03,5340.33,USD,Civil Works,Mechanical Services,Administration,2,Direct Award,96.2,Net 90,2012-03-03,2012-05-02,PO733052,Subika,PRJ1711,BUD847,SVP,Completed
TXN000007,SUP0349,2022-01-10,184684.47,USD,Security Services,Construction Services,Maintenance,1,Restricted Tender,91.3,Upon Delivery,2022-01-10,2022-02-09,PO182627,Subika,PRJ6925,BUD691,Director,Completed
TXN000008,SUP0414,2011-07-24,137472.55,USD,Fuel & Lubricants,Financial Services,Security,1,Open Tender,35.1,Net 60,2011-07-24,2011-08-23,PO910620,Subika,PRJ2307,BUD975,Director,Completed
TXN000009,SUP0484,2012-04-07,255248.8,USD,Maintenance Services,Safety Equipment,Maintenance,12,Restricted Tender,12.0,Net 90,2012-04-07,2013-04-02,PO575435,Subika,PRJ3664,BUD479,VP,Completed
TXN000010,SUP0314,2014-09-13,13212975.7,USD,Equipment Rental,Mechanical Services,Administration,3,Open Tender,12.4,Net 90,2014-09-13,2014-12-12,PO835911,Ahafo South,PRJ3803,BUD646,Director,Completed
