performance_id,supplier_id,year,quarter,assessment_date,delivery_performance_pct,quality_score,cost_competitiveness_score,safety_compliance_score,contract_compliance_pct,innovation_score,capacity_utilization_pct,overall_score,improvement_recommendations,contract_renewals_eligible,assessed_by
PERF000001,SUP0001,2010,1,2010-03-01,93.2,8.7,8.5,7.6,90.8,5.7,86.8,7.6,Focus on delivery timelines,Under Review,Assessor_12
PERF000002,SUP0001,2010,2,2010-06-01,94.6,7.7,7.4,7.8,88.3,5.4,92.9,7.1,Focus on delivery timelines,Under Review,Assessor_03
PERF000003,SUP0001,2010,3,2010-09-01,94.4,8.1,8.5,7.7,86.4,6.4,98.1,7.7,Focus on delivery timelines,Under Review,Assessor_09
PERF000004,SUP0001,2010,4,2010-12-01,98.6,7.4,8.8,8.1,83.6,4.9,97.1,7.3,Focus on delivery timelines,Under Review,Assessor_06
PERF000005,SUP0001,2011,1,2011-03-01,91.3,8.1,6.7,6.6,78.4,6.5,94.7,7.0,Enhance quality controls,Under Review,Assessor_15
PERF000006,SUP0001,2011,2,2011-06-01,94.4,7.8,6.7,7.5,83.2,7.6,94.9,7.4,Focus on delivery timelines,Under Review,Assessor_09
PERF000007,SUP0001,2011,3,2011-09-01,86.3,7.6,7.5,7.9,84.7,4.4,83.5,6.8,Enhance quality controls,Under Review,Assessor_11
PERF000008,SUP0001,2011,4,2011-12-01,98.4,7.6,8.2,8.7,88.7,7.0,82.5,7.9,Focus on delivery timelines,Under Review,Assessor_05
PERF000009,SUP0001,2012,1,2012-03-01,94.8,8.5,8.9,7.9,95.1,6.7,85.0,8.0,Minor process improvements needed,Under Review,Assessor_01
PERF000010,SUP0001,2012,2,2012-06-01,90.8,8.5,7.4,8.2,76.1,6.0,90.8,7.5,Focus on delivery timelines,Under Review,Assessor_04
PERF000011,SUP0001,2012,3,2012-09-01,100.0,8.0,8.1,8.9,83.1,5.3,86.4,7.6,Focus on delivery timelines,Under Review,Assessor_02
PERF000012,SUP0001,2012,4,2012-12-01,88.4,8.6,7.8,7.4,84.0,4.6,88.0,7.1,Focus on delivery timelines,Under Review,Assessor_07
PERF000013,SUP0001,2013,1,2013-03-01,99.6,8.0,8.2,7.2,79.2,6.4,79.0,7.5,Focus on delivery timelines,Under Review,Assessor_05
PERF000014,SUP0001,2013,2,2013-06-01,90.5,8.6,7.3,7.7,89.9,4.5,84.8,7.1,Focus on delivery timelines,Under Review,Assessor_12
PERF000015,SUP0001,2013,3,2013-09-01,95.4,8.2,6.5,7.4,79.6,6.4,87.1,7.1,Focus on delivery timelines,Under Review,Assessor_02
PERF000016,SUP0001,2013,4,2013-12-01,94.0,8.2,8.9,7.2,90.3,8.7,100.0,8.2,Minor process improvements needed,Under Review,Assessor_04
PERF000017,SUP0001,2014,1,2014-03-01,86.6,8.2,7.3,8.5,82.7,6.7,91.2,7.7,Focus on delivery timelines,Under Review,Assessor_11
PERF000018,SUP0001,2014,2,2014-06-01,99.0,8.6,7.9,7.4,94.1,6.8,80.5,7.7,Focus on delivery timelines,Under Review,Assessor_03
PERF000019,SUP0001,2014,3,2014-09-01,93.2,8.0,8.7,8.3,68.1,6.9,100.0,8.0,Focus on delivery timelines,Under Review,Assessor_18
PERF000020,SUP0001,2014,4,2014-12-01,100.0,7.7,8.0,8.9,75.0,6.5,94.0,7.8,Focus on delivery timelines,Under Review,Assessor_09
PERF000021,SUP0001,2015,1,2015-03-01,100.0,8.8,7.0,8.2,88.8,7.4,89.2,7.9,Focus on delivery timelines,Under Review,Assessor_11
PERF000022,SUP0001,2015,2,2015-06-01,100.0,9.3,8.3,8.0,86.9,4.0,93.0,7.4,Focus on delivery timelines,Under Review,Assessor_04
PERF000023,SUP0001,2015,3,2015-09-01,97.0,7.9,8.5,8.8,81.6,7.4,95.6,8.2,Minor process improvements needed,Yes,Assessor_17
PERF000024,SUP0001,2015,4,2015-12-01,99.3,7.5,9.7,8.2,92.5,4.5,91.3,7.5,Focus on delivery timelines,Under Review,Assessor_08
PERF000025,SUP0001,2016,1,2016-03-01,99.4,9.1,8.3,9.8,89.0,4.6,91.1,7.9,Focus on delivery timelines,Under Review,Assessor_16
PERF000026,SUP0001,2016,2,2016-06-01,92.1,8.7,7.7,8.6,92.1,6.2,83.0,7.8,Focus on delivery timelines,Under Review,Assessor_01
PERF000027,SUP0001,2016,3,2016-09-01,90.0,8.0,7.5,8.6,89.2,7.0,100.0,7.8,Focus on delivery timelines,Under Review,Assessor_18
PERF000028,SUP0001,2016,4,2016-12-01,98.0,8.0,8.1,8.5,97.2,7.6,77.7,8.1,Minor process improvements needed,Yes,Assessor_03
PERF000029,SUP0001,2017,1,2017-03-01,93.2,8.9,6.7,7.5,92.5,6.1,84.6,7.3,Focus on delivery timelines,Under Review,Assessor_14
PERF000030,SUP0001,2017,2,2017-06-01,96.4,9.0,7.2,8.1,84.8,6.4,100.0,7.7,Focus on delivery timelines,Under Review,Assessor_17
PERF000031,SUP0001,2017,3,2017-09-01,88.8,8.2,7.6,9.2,89.8,6.9,78.7,8.0,Focus on delivery timelines,Under Review,Assessor_04
PERF000032,SUP0001,2017,4,2017-12-01,96.3,8.9,9.2,7.8,87.9,5.7,100.0,7.9,Focus on delivery timelines,Under Review,Assessor_05
PERF000033,SUP0001,2018,1,2018-03-01,96.2,9.6,7.3,7.3,86.1,6.5,97.2,7.7,Focus on delivery timelines,Under Review,Assessor_07
PERF000034,SUP0001,2018,2,2018-06-01,94.5,9.6,6.9,8.4,86.2,5.3,98.4,7.6,Focus on delivery timelines,Under Review,Assessor_04
PERF000035,SUP0001,2018,3,2018-09-01,100.0,8.6,6.9,9.3,77.6,5.8,92.8,7.6,Focus on delivery timelines,Under Review,Assessor_10
PERF000036,SUP0001,2018,4,2018-12-01,99.0,9.9,8.2,8.8,87.5,6.4,97.9,8.3,Minor process improvements needed,Yes,Assessor_12
PERF000037,SUP0001,2019,1,2019-03-01,99.5,9.6,6.9,9.6,73.6,6.1,97.3,8.0,Minor process improvements needed,Yes,Assessor_01
PERF000038,SUP0001,2019,2,2019-06-01,93.2,9.1,7.2,7.9,85.9,6.2,76.0,7.6,Focus on delivery timelines,Under Review,Assessor_08
PERF000039,SUP0001,2019,3,2019-09-01,100.0,9.6,7.1,7.6,82.7,8.6,91.0,8.2,Minor process improvements needed,Under Review,Assessor_18
PERF000040,SUP0001,2019,4,2019-12-01,100.0,9.0,8.5,8.7,82.8,5.6,98.9,8.0,Focus on delivery timelines,Under Review,Assessor_17
PERF000041,SUP0001,2020,1,2020-03-01,100.0,8.6,8.2,8.7,77.3,6.5,100.0,8.0,Focus on delivery timelines,Under Review,Assessor_12
PERF000042,SUP0001,2020,2,2020-06-01,100.0,8.6,7.5,8.5,89.6,7.4,86.2,8.0,Minor process improvements needed,Yes,Assessor_19
PERF000043,SUP0001,2020,3,2020-09-01,100.0,9.0,7.8,8.4,94.2,5.3,100.0,7.6,Focus on delivery timelines,Under Review,Assessor_03
PERF000044,SUP0001,2020,4,2020-12-01,100.0,9.9,7.6,8.5,92.1,8.3,100.0,8.6,Minor process improvements needed,Yes,Assessor_17
PERF000045,SUP0001,2021,1,2021-03-01,100.0,8.6,8.0,8.7,96.5,7.7,86.7,8.3,Minor process improvements needed,Yes,Assessor_07
PERF000046,SUP0001,2021,2,2021-06-01,95.7,8.8,8.1,9.2,96.3,6.1,91.3,8.1,Minor process improvements needed,Yes,Assessor_13
PERF000047,SUP0001,2021,3,2021-09-01,94.3,9.6,6.3,8.9,95.6,7.0,98.8,7.9,Focus on delivery timelines,Under Review,Assessor_03
PERF000048,SUP0001,2021,4,2021-12-01,100.0,8.9,6.7,7.9,86.7,6.8,92.1,7.6,Focus on delivery timelines,Under Review,Assessor_11
PERF000049,SUP0001,2022,1,2022-03-01,100.0,8.8,8.1,8.1,91.2,5.7,85.9,7.7,Focus on delivery timelines,Under Review,Assessor_15
PERF000050,SUP0001,2022,2,2022-06-01,100.0,8.5,8.6,8.5,100.0,5.3,83.0,7.7,Focus on delivery timelines,Under Review,Assessor_08
PERF000051,SUP0001,2022,3,2022-09-01,96.3,9.4,6.4,7.2,92.4,7.0,100.0,7.5,Focus on delivery timelines,Under Review,Assessor_13
PERF000052,SUP0001,2022,4,2022-12-01,92.7,9.8,8.8,8.1,75.8,7.9,90.3,8.6,Minor process improvements needed,Yes,Assessor_03
PERF000053,SUP0001,2023,1,2023-03-01,100.0,9.0,7.5,9.3,91.3,6.5,99.5,8.1,Minor process improvements needed,Yes,Assessor_05
PERF000054,SUP0001,2023,2,2023-06-01,96.1,9.5,7.3,8.0,82.7,5.2,94.8,7.5,Focus on delivery timelines,Under Review,Assessor_08
PERF000055,SUP0001,2023,3,2023-09-01,98.1,8.1,8.9,8.6,83.5,8.2,92.6,8.4,Minor process improvements needed,Yes,Assessor_18
PERF000056,SUP0001,2023,4,2023-12-01,100.0,9.4,8.7,8.5,81.3,6.0,100.0,8.1,Minor process improvements needed,Yes,Assessor_19
PERF000057,SUP0001,2024,1,2024-03-01,100.0,9.0,8.5,8.4,91.4,7.3,100.0,8.3,Minor process improvements needed,Yes,Assessor_19
PERF000058,SUP0001,2024,2,2024-06-01,98.0,9.2,9.1,8.4,100.0,4.6,74.4,7.8,Focus on delivery timelines,Under Review,Assessor_05
PERF000059,SUP0001,2024,3,2024-09-01,99.1,8.9,8.2,9.0,77.9,6.1,90.7,8.1,Minor process improvements needed,Yes,Assessor_16
PERF000060,SUP0001,2024,4,2024-12-01,93.8,9.1,8.5,8.2,100.0,5.9,87.0,7.9,Focus on delivery timelines,Under Review,Assessor_19
PERF000061,SUP0001,2025,1,2025-03-01,97.0,8.6,8.7,8.2,88.9,8.3,100.0,8.5,Minor process improvements needed,Yes,Assessor_12
PERF000062,SUP0001,2025,2,2025-06-01,96.6,8.3,9.4,8.4,83.9,6.5,90.3,8.2,Minor process improvements needed,Yes,Assessor_01
PERF000063,SUP0001,2025,3,2025-09-01,98.2,9.0,7.2,8.4,92.0,6.2,92.0,7.7,Focus on delivery timelines,Under Review,Assessor_14
PERF000064,SUP0002,2010,1,2010-03-01,100.0,10.0,9.9,9.7,100.0,7.6,88.4,9.3,None - Excellent Performance,Yes,Assessor_10
PERF000065,SUP0002,2010,2,2010-06-01,100.0,10.0,10.0,10.0,100.0,7.1,80.8,9.3,None - Excellent Performance,Yes,Assessor_09
PERF000066,SUP0002,2010,3,2010-09-01,100.0,10.0,10.0,10.0,100.0,8.0,100.0,9.5,None - Excellent Performance,Yes,Assessor_19
PERF000067,SUP0002,2010,4,2010-12-01,100.0,10.0,10.0,10.0,100.0,6.6,100.0,9.1,None - Excellent Performance,Yes,Assessor_06
PERF000068,SUP0002,2011,1,2011-03-01,100.0,10.0,8.8,10.0,100.0,10.0,100.0,9.7,None - Excellent Performance,Yes,Assessor_02
PERF000069,SUP0002,2011,2,2011-06-01,100.0,10.0,10.0,10.0,100.0,7.3,100.0,9.3,None - Excellent Performance,Yes,Assessor_17
PERF000070,SUP0002,2011,3,2011-09-01,100.0,10.0,10.0,10.0,100.0,9.4,100.0,9.9,None - Excellent Performance,Yes,Assessor_13
PERF000071,SUP0002,2011,4,2011-12-01,100.0,10.0,10.0,10.0,100.0,7.8,100.0,9.4,None - Excellent Performance,Yes,Assessor_17
PERF000072,SUP0002,2012,1,2012-03-01,100.0,10.0,9.8,10.0,100.0,7.8,100.0,9.4,None - Excellent Performance,Yes,Assessor_11
PERF000073,SUP0002,2012,2,2012-06-01,100.0,10.0,10.0,10.0,100.0,8.0,97.7,9.5,None - Excellent Performance,Yes,Assessor_05
PERF000074,SUP0002,2012,3,2012-09-01,100.0,10.0,10.0,9.4,100.0,8.2,100.0,9.4,None - Excellent Performance,Yes,Assessor_08
PERF000075,SUP0002,2012,4,2012-12-01,100.0,10.0,10.0,10.0,99.3,10.0,84.0,10.0,None - Excellent Performance,Yes,Assessor_15
PERF000076,SUP0002,2013,1,2013-03-01,100.0,10.0,8.9,10.0,100.0,6.7,100.0,8.9,Minor process improvements needed,Yes,Assessor_15
PERF000077,SUP0002,2013,2,2013-06-01,100.0,10.0,10.0,10.0,100.0,9.4,99.1,9.8,None - Excellent Performance,Yes,Assessor_02
PERF000078,SUP0002,2013,3,2013-09-01,100.0,10.0,10.0,10.0,100.0,8.2,92.8,9.5,None - Excellent Performance,Yes,Assessor_08
PERF000079,SUP0002,2013,4,2013-12-01,100.0,10.0,10.0,10.0,100.0,9.7,86.3,9.9,None - Excellent Performance,Yes,Assessor_05
PERF000080,SUP0002,2014,1,2014-03-01,100.0,10.0,10.0,9.8,100.0,9.4,100.0,9.8,None - Excellent Performance,Yes,Assessor_08
PERF000081,SUP0002,2014,2,2014-06-01,100.0,10.0,10.0,10.0,100.0,8.8,94.7,9.7,None - Excellent Performance,Yes,Assessor_09
PERF000082,SUP0002,2014,3,2014-09-01,100.0,10.0,10.0,10.0,100.0,8.6,100.0,9.6,None - Excellent Performance,Yes,Assessor_08
PERF000083,SUP0002,2014,4,2014-12-01,100.0,10.0,10.0,10.0,100.0,10.0,100.0,10.0,None - Excellent Performance,Yes,Assessor_11
PERF000084,SUP0002,2015,1,2015-03-01,100.0,10.0,10.0,10.0,100.0,8.0,100.0,9.5,None - Excellent Performance,Yes,Assessor_19
PERF000085,SUP0002,2015,2,2015-06-01,100.0,10.0,10.0,10.0,100.0,7.7,100.0,9.4,None - Excellent Performance,Yes,Assessor_17
PERF000086,SUP0002,2015,3,2015-09-01,100.0,10.0,10.0,10.0,100.0,7.7,100.0,9.4,None - Excellent Performance,Yes,Assessor_19
PERF000087,SUP0002,2015,4,2015-12-01,100.0,10.0,10.0,10.0,100.0,7.9,95.5,9.5,None - Excellent Performance,Yes,Assessor_14
PERF000088,SUP0002,2016,1,2016-03-01,100.0,10.0,10.0,10.0,100.0,10.0,100.0,10.0,None - Excellent Performance,Yes,Assessor_04
PERF000089,SUP0002,2016,2,2016-06-01,100.0,10.0,10.0,10.0,100.0,6.9,99.0,9.2,None - Excellent Performance,Yes,Assessor_18
PERF000090,SUP0002,2016,3,2016-09-01,100.0,10.0,10.0,10.0,100.0,8.5,88.5,9.6,None - Excellent Performance,Yes,Assessor_08
PERF000091,SUP0002,2016,4,2016-12-01,100.0,10.0,10.0,10.0,100.0,8.2,100.0,9.6,None - Excellent Performance,Yes,Assessor_14
PERF000092,SUP0002,2017,1,2017-03-01,100.0,10.0,10.0,10.0,100.0,9.2,99.5,9.8,None - Excellent Performance,Yes,Assessor_07
PERF000093,SUP0002,2017,2,2017-06-01,100.0,10.0,10.0,10.0,100.0,8.8,87.6,9.7,None - Excellent Performance,Yes,Assessor_02
PERF000094,SUP0002,2017,3,2017-09-01,100.0,10.0,10.0,10.0,100.0,7.8,100.0,9.4,None - Excellent Performance,Yes,Assessor_12
PERF000095,SUP0002,2017,4,2017-12-01,100.0,10.0,10.0,10.0,100.0,8.4,100.0,9.6,None - Excellent Performance,Yes,Assessor_09
PERF000096,SUP0002,2018,1,2018-03-01,100.0,10.0,10.0,10.0,100.0,7.0,100.0,9.2,None - Excellent Performance,Yes,Assessor_05
PERF000097,SUP0002,2018,2,2018-06-01,100.0,10.0,10.0,10.0,100.0,9.1,100.0,9.8,None - Excellent Performance,Yes,Assessor_12
PERF000098,SUP0002,2018,3,2018-09-01,100.0,10.0,10.0,10.0,100.0,10.0,97.6,10.0,None - Excellent Performance,Yes,Assessor_14
PERF000099,SUP0002,2018,4,2018-12-01,100.0,10.0,9.5,10.0,100.0,7.6,100.0,9.3,None - Excellent Performance,Yes,Assessor_07
